bad,mean,good
32.05,74.59,91.99
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
6.05,22.97,37.28
66.67,223.47,248.09
218.23,407.17,492.15
515.57,675.77,699.91
644.49,828.96,860.06
685.42,880.18,955.27
760.68,848.96,971.45
744.83,774.3,900.2
515.19,722.85,775.26
326.03,493.68,584.2
149.14,266.75,327.37
39.23,86.96,91.13
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
14.43,23.72,32.47
115.54,219.15,247.68
377.6,464.67,500.0
548.69,587.75,703.4
676.19,846.47,862.09
716.03,871.01,956.33
746.45,860.19,964.5
739.99,894.67,900.49
601.5,624.94,763.53
385.53,544.56,574.16
163.15,310.14,327.73
38.55,65.12,90.89
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.15,22.79,32.86
152.01,210.56,252.53
378.5,421.08,490.59
531.92,682.5,702.99
585.85,817.44,858.16
755.07,798.61,949.25
740.92,942.78,974.21
632.56,815.21,899.38
461.03,735.98,767.88
330.62,531.68,563.84
178.11,257.93,328.28
35.32,70.56,93.12
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
11.94,24.32,40.24
160.25,189.68,253.19
305.41,450.54,490.04
523.24,682.9,699.5
659.11,728.09,866.99
675.83,935.37,952.39
793.19,933.89,977.22
655.87,871.44,902.73
433.16,701.08,768.59
343.07,465.01,570.06
178.27,263.74,331.13
8.38,79.5,99.86
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
6.68,19.22,33.02
144.68,200.9,252.24
254.61,485.08,491.49
385.29,601.74,698.49
685.87,835.3,858.06
671.66,796.93,953.07
660.42,908.53,964.16
642.95,853.98,905.21
486.37,749.56,767.44
372.91,440.46,569.23
214.94,316.13,328.43
31.02,64.42,91.22
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
14.85,24.31,40.16
155.38,207.4,256.31
384.46,404.74,496.75
334.39,664.92,706.24
699.78,797.78,862.44
602.42,860.19,964.73
719.04,960.21,979.72
602.86,756.11,907.32
513.35,719.97,769.7
402.1,559.86,564.59
221.4,266.77,335.64
8.61,63.76,90.42
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
5.27,27.13,40.07
162.7,245.26,250.38
